Word,Translation,OriginalWord,Transcription
τα υπόλοιπα,le reste,,
προσαρμόζω / προσάρμοσα,s'adapter,,
αποχαιρετώ / αποχαιρέτησα,dire au revoir,,
ασφαλής,sûr,,
η μόλυνση,la pollution,,
επισκέπτομαι / επισκέφθηκα,visiter,,
η αρχιτεκτονική,l'architecture,,
ιδιαίτερος,particulier,,
τουλάχιστον,au moins,,
η άνοιξη,le printemps,,
το αεροπορικό εισιτήριο,le billet d'avion,,
το ακτοπλοϊκό εισιτήριο,le billet de ferry,,
η ξενάγηση,la visite guidée,,
διασκεδάζω / διασκέδασα,s'amuser,,
η διασκέδαση,le divertissement,,
κτλ,etc,,
εξηγώ / εξήγησα,expliquer,,
ο μισθός,le salaire,,
η εμπειρία,l'expérience (professionnelle),,
το ρεπό,le jour de congé,,
η αργία,le jour férié,,
τα άδεια,les vacances,,
ο υπάλληλος,l'employé,,
η υπερωρία,les heures supplémentaires,,
η σύνταξη,la retraite,,
οι κρατήσεις,les impôts,,
η αύξηση,l'augmentation,,
η ανεργία,le chômage,,
η απεργία,la grève,,
συμμετέχω / συμμετείχα,participer,,
υπήρχε,Il y avait,,
κάνω προπόνηση,s'entraîner,,
κυρίως,principalement,,
το τρέξιμο,la course,,
πρόσφατα,récemment,,
λιγότεροι άνθρωποι,moins de gens,,
Το μέρος,τα μέρη,,
οτιδήποτε,n'importe quoi,,
το βιογραφικό σημείωμα,le CV,,
αποτυγχάνω / απέτυχα,échouer,,
συνεχίζω / συνέχισα,continuer,,
πιθανό,probable,,
αυθόρμητος,spontané,,
Ο αναλυτής,l'analyste,,
μόνιμος,permanent,,
γλυκανάλατος,cheesy,,
Το συγκρότημα,Le groupe de musique,,
κυρίως,principalement,,
To ρεύμα,le courant,,
Αποκλείω / απέκλεισα,exclure,,
αγχωτικός,stressant,,
τον υπόλοιπο χρόνο,le reste du temps,,
Εδω και,depuis,,
Σύντομα,bientôt,,
Η πιστωτική κάρτα,la carte de crédit,,
Τα χρήματα,l'argent,,
Η λεπτομέρεια,le détail,,
Το δάνειο,le pret,,
Εικονικός,virtuel,,
Αυξάνω / Αύξησα,augmenter,,
Μειώνω / Μείωσα,diminuer,,
Εκατό τοις εκατό,cent pour cent,,
Είκοσι τοις εκατό,vingt pour cent,,
Η σύνδεση στο διαδίκτυο,la connexion internet,,
εξάσκηση,l'exercice,,
Τα μεσάνυχτα,minuit,,
έγκυος,enceinte,,
εξερευνώ / εξερεύνησα,explorer,,
Η περιοχή,la région,,
Η πεζοπορία,la randonnée,,
ενάμιση,un et demi,,
Η εβδομάδα,la semaine,,
Η αργία,le jour férié,,
πακετάρω / πακετάρισα,emballer,,
Το διαμέρισμα,l'appartement,,
Ο κάτοικος,le résident,,
πρήζομαι / πρήστηκα,Je suis enflé,,
Η αντιβίωση,l'antibiotique,,
μολύνομαι / μολύνθηκα,s'infecter,,
Το μέλι,le miel,,
ξύνω / έξυσα,gratter,,
χαλαρός,détendu,,
έντονος,intense,,
η γειτονιά,le quartier,,
σπάω / έσπασα,casser,,
Αρκεί,Tant que,,
Η ταχύτητα,la vitesse,,
η εκδρομή,l'excursion,,
επιπλέον,supplémentaire,,
αγγλικό,anglais (adj),,
